spec,category_chain_or_product,method,status,reason,category,http_status,rpc_code,rpc_message
apechain,chain,eth_sendRawTransaction,fail,jsonrpc error,Mutation method - stale gas price example,200,-32000,"max fee per gas less than block base fee: address 0x627306090abaB3A6e1400e9345bC60c78a8BEf57, maxFeePerGas: 1000 baseFee: 101682760000"
citrea,chain,eth_getUncleByBlockHashAndIndex,fail,HTTP 400,Method not supported on chain,400,,"{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32600,""message"":""Unsupported method: eth_getUncleByBlockHashAndIndex on CITREA_MAINNET""}}"
apechain,chain,eth_sendRawTransactionSync,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_sendRawTransactionSync does not exist/is not available
worldmobilechain,chain,eth_sendRawTransaction,fail,jsonrpc error,Mutation method - stale gas price example,200,-32000,"max fee per gas less than block base fee: address 0x627306090abaB3A6e1400e9345bC60c78a8BEf57, maxFeePerGas: 1000 baseFee: 195000000000"
worldmobilechain,chain,eth_submitWork,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_submitWork does not exist/is not available
metis,chain,eth_sendRawTransaction,fail,jsonrpc error,Mutation method needs funded sender,200,-32000,invalid transaction: insufficient funds for gas * price + value
metis,chain,eth_submitWork,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_submitWork does not exist/is not available
katana,chain,eth_sendRawTransaction,fail,jsonrpc error,Mutation method needs funded sender,200,-32003,insufficient funds for gas * price + value
katana,chain,eth_submitWork,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_submitWork does not exist/is not available
story,chain,eth_sendRawTransaction,fail,jsonrpc error,Mutation method needs funded sender,200,-32000,"insufficient funds for gas * price + value: balance 0, tx cost 2000000000021000000, overshot 2000000000021000000"
story,chain,eth_submitWork,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_submitWork does not exist/is not available
settlus,chain,eth_submitWork,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_submitWork does not exist/is not available
settlus,chain,net_listening,fail,HTTP 400,Method not supported on chain,400,,"{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32600,""message"":""Unsupported method: net_listening on SETTLUS_MAINNET""}}"
mode,chain,eth_sendRawTransaction,fail,jsonrpc error,Mutation method - stale nonce example,200,-32000,"nonce too low: next nonce 5, tx nonce 1"
mode,chain,eth_submitWork,fail,jsonrpc error,Method not supported on chain,200,-32603,unimplemented
clankermon,chain,eth_submitWork,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_submitWork does not exist/is not available
clankermon,chain,eth_sendRawTransaction,fail,jsonrpc error,Other JSON-RPC error,200,-32000,invalid input: missing chain ID
bitcoincash,chain,submitpackage,fail,HTTP 503,Transient or capacity: HTTP 503,503,,"{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32001,""message"":""Unable to complete request at this time.""}}"
bitcoincash,chain,testmempoolaccept,fail,HTTP 503,Transient or capacity: HTTP 503,503,,"{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32001,""message"":""Unable to complete request at this time.""}}"
lens,chain,eth_sendRawTransaction,fail,jsonrpc error,Mutation method - stale gas price example,200,3,max fee per gas less than block base fee
polygonzkevm,chain,eth_sendRawTransaction,fail,jsonrpc error,Mutation method needs funded sender,200,-32000,RPC error response: RPC error response: INTERNAL_ERROR: insufficient funds
polygonzkevm,chain,eth_submitWork,fail,jsonrpc error,Other JSON-RPC error,200,-32000,"not supported, consensus engine is not ethash"
lens,chain,eth_simulateV1,fail,jsonrpc error,Method not supported on chain,200,-32601,Method not found
sui,chain,suix_getStakesByIds,fail,jsonrpc error,Other JSON-RPC error,200,-32000,"Type error while binding function arguments: Object type is not a StakedSui: Object { id: 0xa6379c19b3aa9aa878fc1deaf69c1dbb1de4224de8b62de04e4962b593e037e9, version: SequenceNumber(895250390), owner:"
monad,chain,eth_getUncleByBlockNumberAndIndex,fail,jsonrpc error,Method not supported on chain,200,-32601,Method not found
monad,chain,eth_getUncleCountByBlockHash,fail,jsonrpc error,Method not supported on chain,200,-32601,Method not found
monad,chain,eth_getUncleCountByBlockNumber,fail,jsonrpc error,Method not supported on chain,200,-32601,Method not found
crossfi,chain,eth_syncing,fail,HTTP 400,Method not supported on chain,400,,"{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32600,""message"":""Unsupported method: eth_syncing on CROSSFI_MAINNET""}}"
crossfi,chain,net_listening,fail,HTTP 400,Method not supported on chain,400,,"{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32600,""message"":""Unsupported method: net_listening on CROSSFI_MAINNET""}}"
rise,chain,eth_protocolVersion,fail,HTTP 400,Method not supported on chain,400,,"{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32600,""message"":""Unsupported method: eth_protocolVersion on RISE_MAINNET""}}"
rise,chain,eth_sendRawTransaction,fail,jsonrpc error,Mutation method - stale gas price example,200,-32000,max fee per gas less than block base fee
superseed,chain,eth_submitWork,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_submitWork does not exist/is not available
moonbeam,chain,eth_sendRawTransaction,fail,jsonrpc error,Other JSON-RPC error,200,-32603,unprotected legacy transactions are not allowed by RPC policy
degen,chain,eth_protocolVersion,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_protocolVersion does not exist/is not available
humanity,chain,eth_sendRawTransaction,fail,jsonrpc error,Mutation method - stale gas price example,200,-32000,"max fee per gas less than block base fee: address 0x627306090abaB3A6e1400e9345bC60c78a8BEf57, maxFeePerGas: 1000 baseFee: 150000000"
degen,chain,eth_sendRawTransaction,fail,jsonrpc error,Mutation method - stale gas price example,200,-32000,"max fee per gas less than block base fee: address 0x627306090abaB3A6e1400e9345bC60c78a8BEf57, maxFeePerGas: 1000 baseFee: 120000000000"
degen,chain,eth_simulateV1,fail,jsonrpc error,Mutation method needs funded sender,200,-38014,err: insufficient funds for gas * price + value: address 0xC000000000000000000000000000000000000000 have 20000000000 want 16888498602639361 (supplied gas 1125899906842624)
degen,chain,eth_submitWork,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_submitWork does not exist/is not available
humanity,chain,eth_submitWork,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_submitWork does not exist/is not available
robinhood,chain,eth_sendRawTransaction,fail,jsonrpc error,Mutation method - stale gas price example,200,-32000,"max fee per gas less than block base fee: address 0x627306090abaB3A6e1400e9345bC60c78a8BEf57, maxFeePerGas: 1000 baseFee: 10000000"
robinhood,chain,eth_submitWork,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_submitWork does not exist/is not available
eth,chain,eth_simulateV1,fail,jsonrpc error,Mutation method - gas mismatch,200,-32000,intrinsic gas too high
eth,chain,eth_submitWork,fail,jsonrpc error,Method not supported on chain,200,-32603,unimplemented
litecoin,chain,submitpackage,fail,HTTP 503,Transient or capacity: HTTP 503,503,,"{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32001,""message"":""Unable to complete request at this time.""}}"
sonic,chain,eth_newPendingTransactionFilter,fail,HTTP 400,Method not supported on chain,400,,"{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32600,""message"":""Unsupported method: eth_newPendingTransactionFilter on SONIC_MAINNET""}}"
opbnb,chain,net_peerCount,fail,HTTP 400,Method not supported on chain,400,,"{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32600,""message"":""Unsupported method: net_peerCount on OPBNB_MAINNET""}}"
hyperliquid,chain,eth_getUncleCountByBlockHash,fail,HTTP 400,Method not supported on chain,400,,"{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32600,""message"":""Unsupported method: eth_getUncleCountByBlockHash on HYPERLIQUID_MAINNET""}}"
hyperliquid,chain,eth_getUncleCountByBlockNumber,fail,HTTP 400,Method not supported on chain,400,,"{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32600,""message"":""Unsupported method: eth_getUncleCountByBlockNumber on HYPERLIQUID_MAINNET""}}"
dogecoin,chain,submitpackage,fail,HTTP 503,Transient or capacity: HTTP 503,503,,"{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32001,""message"":""Unable to complete request at this time.""}}"
dogecoin,chain,testmempoolaccept,fail,HTTP 503,Transient or capacity: HTTP 503,503,,"{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32001,""message"":""Unable to complete request at this time.""}}"
soneium,chain,eth_sendRawTransaction,fail,jsonrpc error,Mutation method needs funded sender,200,-32000,"insufficient funds for gas * price + value: balance 0, tx cost 2000000011702051323, overshot 2000000011702051323"
dogecoin,chain,verifymessage,fail,HTTP 503,Transient or capacity: HTTP 503,503,,"{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32001,""message"":""Unable to complete request at this time.""}}"
sonic,chain,eth_sendRawTransaction,fail,jsonrpc error,Mutation method - pre-EIP-155 example,200,-32000,only replay-protected (EIP-155) transactions allowed over RPC
litecoin,chain,verifymessage,fail,jsonrpc error,Other JSON-RPC error,200,-3,Invalid address
zora,chain,eth_submitWork,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_submitWork does not exist/is not available
injective,chain,eth_submitWork,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_submitWork does not exist/is not available
injective,chain,eth_syncing,fail,HTTP 400,Method not supported on chain,400,,"{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32600,""message"":""Unsupported method: eth_syncing on INJECTIVE_MAINNET""}}"
hyperliquid,chain,eth_newBlockFilter,fail,jsonrpc error,Method not supported on chain,200,-32601,Method not found
injective,chain,net_listening,fail,HTTP 400,Method not supported on chain,400,,"{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32600,""message"":""Unsupported method: net_listening on INJECTIVE_MAINNET""}}"
tempo,chain,eth_getFilterChanges,fail,HTTP 400,Stateless Try It - filter does not persist,400,,"{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32000,""message"":""filter not found""}}"
fantom,chain,net_version,fail,dns/connect,Host does not resolve,,,[Errno -2] Name or service not known
tempo,chain,eth_getFilterLogs,fail,HTTP 400,Stateless Try It - filter does not persist,400,,"{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32000,""message"":""filter not found""}}"
fantom,chain,web3_clientVersion,fail,dns/connect,Host does not resolve,,,[Errno -2] Name or service not known
fantom,chain,web3_sha3,fail,dns/connect,Host does not resolve,,,[Errno -2] Name or service not known
zksync,chain,web3_sha3,fail,jsonrpc error,Method not supported on chain,200,-32601,Method not found
matic,chain,eth_getTransactionReceiptsByBlock,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_getTransactionReceiptsByBlock does not exist/is not available
opt,chain,eth_sendRawTransaction,fail,jsonrpc error,Other JSON-RPC error,200,-32000,invalid sender
opt,chain,eth_sendRawTransactionSync,fail,jsonrpc error,Other JSON-RPC error,200,-32000,invalid sender
ink,chain,eth_protocolVersion,fail,HTTP 400,Method not supported on chain,400,,"{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32600,""message"":""Unsupported method: eth_protocolVersion on INK_MAINNET""}}"
ink,chain,eth_sendRawTransaction,fail,jsonrpc error,Mutation method - pre-EIP-155 example,200,-32603,"HTTP error 400 with body: {""jsonrpc"":""2.0"",""error"":{""code"":-32200,""message"":""pre-EIP-155 transaction not allowed""},""id"":40312}
"
stable,chain,eth_sendRawTransaction,fail,jsonrpc error,Mutation method - pre-EIP-155 example,200,-32000,only replay-protected (EIP-155) transactions allowed over RPC
